Postcode;City;State;;
1000;Bruxelles;Bruxelles-Capitale;;
1020;Laeken;Bruxelles-Capitale;;
1030;Schaerbeek;Bruxelles-Capitale;;
1040;Etterbeek;Bruxelles-Capitale;;
1050;Ixelles;Bruxelles-Capitale;;
1060;Saint-Gilles;Bruxelles-Capitale;;
1070;Anderlecht;Bruxelles-Capitale;;
1080;Molenbeek-Saint-Jean;Bruxelles-Capitale;;
1081;Koekelberg;Bruxelles-Capitale;;
1082;Berchem-Sainte-Agathe;Bruxelles-Capitale;;
1083;Ganshoren;Bruxelles-Capitale;;
1090;Jette;Bruxelles-Capitale;;
1120;Neder-Over-Heembeek;Bruxelles-Capitale;;
1130;Haren;Bruxelles-Capitale;;
1140;Evere;Bruxelles-Capitale;;
1150;Woluwe-Saint-Pierre;Bruxelles-Capitale;;
1160;Auderghem;Bruxelles-Capitale;;
1170;Watermael-Boitsfort;Bruxelles-Capitale;;
1180;Uccle;Bruxelles-Capitale;;
1190;Forest;Bruxelles-Capitale;;
1200;Woluwe-Saint-Lambert;Bruxelles-Capitale;;
1210;Saint-Josse-Ten-Noode;Bruxelles-Capitale;;
1300;Limal;Waals-Brabant;;
1300;Wavre;Waals-Brabant;;
1301;Bierges;Waals-Brabant;;
1310;La Hulpe;Waals-Brabant;;
1315;Glimes;Waals-Brabant;;
1315;Incourt;Waals-Brabant;;
1315;Opprebais;Waals-Brabant;;
1315;Piètrebais;Waals-Brabant;;
1315;Roux-Miroir;Waals-Brabant;;
1320;Beauvechain;Waals-Brabant;;
1320;Hamme-Mille;Waals-Brabant;;
1320;L'ecluse;Waals-Brabant;;
1320;Nodebais;Waals-Brabant;;
1320;Tourinnes-La-Grosse;Waals-Brabant;;
1325;Bonlez;Waals-Brabant;;
1325;Chaumont-Gistoux;Waals-Brabant;;
1325;Corroy-Le-Grand;Waals-Brabant;;
1325;Dion-Valmont;Waals-Brabant;;
1325;Longueville;Waals-Brabant;;
1330;Rixensart;Waals-Brabant;;
1331;Rosières;Waals-Brabant;;
1332;Genval;Waals-Brabant;;
1340;Ottignies;Waals-Brabant;;
1340;Ottignies-Louvain-La-Neuve;Waals-Brabant;;
1341;Céroux-Mousty;Waals-Brabant;;
1342;Limelette;Waals-Brabant;;
1348;Louvain-La-Neuve;Waals-Brabant;;
1350;Enines;Waals-Brabant;;
1350;Folx-Les-Caves;Waals-Brabant;;
1350;Jandrain-Jandrenouille;Waals-Brabant;;
1350;Jauche;Waals-Brabant;;
1350;Marilles;Waals-Brabant;;
1350;Noduwez;Waals-Brabant;;
1350;Orp-Jauche;Waals-Brabant;;
1350;Orp-Le-Grand;Waals-Brabant;;
1357;Hélécine;Waals-Brabant;;
1357;Linsmeau;Waals-Brabant;;
1357;Neerheylissem;Waals-Brabant;;
1357;Opheylissem;Waals-Brabant;;
1360;Malèves-Sainte-Marie-Wastines;Waals-Brabant;;
1360;Orbais;Waals-Brabant;;
1360;Perwez;Waals-Brabant;;
1360;Thorembais-Les-Béguines;Waals-Brabant;;
1360;Thorembais-Saint-Trond;Waals-Brabant;;
1367;Autre-Eglise;Waals-Brabant;;
1367;Bomal;Waals-Brabant;;
1367;Gérompont;Waals-Brabant;;
1367;Grand-Rosière-Hottomont;Waals-Brabant;;
1367;Huppaye;Waals-Brabant;;
1367;Mont-Saint-André;Waals-Brabant;;
1367;Ramillies;Waals-Brabant;;
1370;Dongelberg;Waals-Brabant;;
1370;Jauchelette;Waals-Brabant;;
1370;Jodoigne;Waals-Brabant;;
1370;Jodoigne-Souveraine;Waals-Brabant;;
1370;Lathuy;Waals-Brabant;;
1370;Mélin;Waals-Brabant;;
1370;Piétrain;Waals-Brabant;;
1370;Saint-Jean-Geest;Waals-Brabant;;
1370;Saint-Remy-Geest;Waals-Brabant;;
1370;Zétrud-Lumay;Waals-Brabant;;
1380;Couture-Saint-Germain;Waals-Brabant;;
1380;Lasne;Waals-Brabant;;
1380;Lasne-Chapelle-Saint-Lambert;Waals-Brabant;;
1380;Maransart;Waals-Brabant;;
1380;Ohain;Waals-Brabant;;
1380;Plancenoit;Waals-Brabant;;
1390;Archennes;Waals-Brabant;;
1390;Biez;Waals-Brabant;;
1390;Bossut-Gottechain;Waals-Brabant;;
1390;Grez-Doiceau;Waals-Brabant;;
1390;Nethen;Waals-Brabant;;
1400;Monstreux;Waals-Brabant;;
1400;Nivelles;Waals-Brabant;;
1401;Baulers;Waals-Brabant;;
1402;Thines;Waals-Brabant;;
1404;Bornival;Waals-Brabant;;
1410;Waterloo;Waals-Brabant;;
1420;Braine-L'alleud;Waals-Brabant;;
1421;Ophain-Bois-Seigneur-Isaac;Waals-Brabant;;
1428;Lillois-Witterzée;Waals-Brabant;;
1430;Bierghes;Waals-Brabant;;
1430;Quenast;Waals-Brabant;;
1430;Rebecq;Waals-Brabant;;
1430;Rebecq-Rognon;Waals-Brabant;;
1435;Corbais;Waals-Brabant;;
1435;Hévillers;Waals-Brabant;;
1435;Mont-Saint-Guibert;Waals-Brabant;;
1440;Braine-Le-Château;Waals-Brabant;;
1440;Wauthier-Braine;Waals-Brabant;;
1450;Chastre;Waals-Brabant;;
1450;Chastre-Villeroux-Blanmont;Waals-Brabant;;
1450;Cortil-Noirmont;Waals-Brabant;;
1450;Gentinnes;Waals-Brabant;;
1450;Saint-Géry;Waals-Brabant;;
1457;Nil-Saint-Vincent-Saint-Martin;Waals-Brabant;;
1457;Tourinnes-Saint-Lambert;Waals-Brabant;;
1457;Walhain;Waals-Brabant;;
1457;Walhain-Saint-Paul;Waals-Brabant;;
1460;Ittre;Waals-Brabant;;
1460;Virginal-Samme;Waals-Brabant;;
1461;Haut-Ittre;Waals-Brabant;;
1470;Baisy-Thy;Waals-Brabant;;
1470;Bousval;Waals-Brabant;;
1470;Genappe;Waals-Brabant;;
1471;Loupoigne;Waals-Brabant;;
1472;Vieux-Genappe;Waals-Brabant;;
1473;Glabais;Waals-Brabant;;
1474;Ways;Waals-Brabant;;
1476;Houtain-Le-Val;Waals-Brabant;;
1480;Clabecq;Waals-Brabant;;
1480;Oisquercq;Waals-Brabant;;
1480;Saintes;Waals-Brabant;;
1480;Tubize;Waals-Brabant;;
1490;Court-Saint-Etienne;Waals-Brabant;;
1495;Marbais;Waals-Brabant;;
1495;Mellery;Waals-Brabant;;
1495;Sart-Dames-Avelines;Waals-Brabant;;
1495;Tilly;Waals-Brabant;;
1495;Villers-La-Ville;Waals-Brabant;;
1500;Halle;Vlaams-Brabant;;
1501;Buizingen;Vlaams-Brabant;;
1502;Lembeek;Vlaams-Brabant;;
1540;Herfelingen;Vlaams-Brabant;;
1540;Herne;Vlaams-Brabant;;
1541;Sint-Pieters-Kapelle;Vlaams-Brabant;;
1547;Biévène;Vlaams-Brabant;;
1560;Hoeilaart;Vlaams-Brabant;;
1570;Galmaarden;Vlaams-Brabant;;
1570;Tollembeek;Vlaams-Brabant;;
1570;Vollezele;Vlaams-Brabant;;
1600;Oudenaken;Vlaams-Brabant;;
1600;Sint-Laureins-Berchem;Vlaams-Brabant;;
1600;Sint-Pieters-Leeuw;Vlaams-Brabant;;
1601;Ruisbroek;Vlaams-Brabant;;
1602;Vlezenbeek;Vlaams-Brabant;;
1620;Drogenbos;Vlaams-Brabant;;
1630;Linkebeek;Vlaams-Brabant;;
1640;Rhode-Saint-Genèse;Vlaams-Brabant;;
1650;Beersel;Vlaams-Brabant;;
1651;Lot;Vlaams-Brabant;;
1652;Alsemberg;Vlaams-Brabant;;
1653;Dworp;Vlaams-Brabant;;
1654;Huizingen;Vlaams-Brabant;;
1670;Bogaarden;Vlaams-Brabant;;
1670;Heikruis;Vlaams-Brabant;;
1670;Pepingen;Vlaams-Brabant;;
1671;Elingen;Vlaams-Brabant;;
1673;Beert;Vlaams-Brabant;;
1674;Bellingen;Vlaams-Brabant;;
1700;Dilbeek;Vlaams-Brabant;;
1700;Sint-Martens-Bodegem;Vlaams-Brabant;;
1700;Sint-Ulriks-Kapelle;Vlaams-Brabant;;
1701;Itterbeek;Vlaams-Brabant;;
1702;Groot-Bijgaarden;Vlaams-Brabant;;
1703;Schepdaal;Vlaams-Brabant;;
1730;Asse;Vlaams-Brabant;;
1730;Bekkerzeel;Vlaams-Brabant;;
1730;Kobbegem;Vlaams-Brabant;;
1730;Mollem;Vlaams-Brabant;;
1731;Relegem;Vlaams-Brabant;;
1731;Zellik;Vlaams-Brabant;;
1740;Ternat;Vlaams-Brabant;;
1741;Wambeek;Vlaams-Brabant;;
1742;Sint-Katherina-Lombeek;Vlaams-Brabant;;
1745;Mazenzele;Vlaams-Brabant;;
1745;Opwijk;Vlaams-Brabant;;
1750;Gaasbeek;Vlaams-Brabant;;
1750;Lennik;Vlaams-Brabant;;
1750;Sint-Kwintens-Lennik;Vlaams-Brabant;;
1750;Sint-Martens-Lennik;Vlaams-Brabant;;
1755;Gooik;Vlaams-Brabant;;
1755;Kester;Vlaams-Brabant;;
1755;Leerbeek;Vlaams-Brabant;;
1755;Oetingen;Vlaams-Brabant;;
1760;Onze-Lieve-Vrouw-Lombeek;Vlaams-Brabant;;
1760;Pamel;Vlaams-Brabant;;
1760;Roosdaal;Vlaams-Brabant;;
1760;Strijtem;Vlaams-Brabant;;
1761;Borchtlombeek;Vlaams-Brabant;;
1770;Liedekerke;Vlaams-Brabant;;
1780;Wemmel;Vlaams-Brabant;;
1785;Brussegem;Vlaams-Brabant;;
1785;Hamme;Vlaams-Brabant;;
1785;Merchtem;Vlaams-Brabant;;
1790;Affligem;Vlaams-Brabant;;
1790;Essene;Vlaams-Brabant;;
1790;Hekelgem;Vlaams-Brabant;;
1790;Teralfene;Vlaams-Brabant;;
1800;Peutie;Vlaams-Brabant;;
1800;Vilvoorde;Vlaams-Brabant;;
1820;Melsbroek;Vlaams-Brabant;;
1820;Perk;Vlaams-Brabant;;
1820;Steenokkerzeel;Vlaams-Brabant;;
1830;Machelen;Vlaams-Brabant;;
1831;Diegem;Vlaams-Brabant;;
1840;Londerzeel;Vlaams-Brabant;;
1840;Malderen;Vlaams-Brabant;;
1840;Steenhuffel;Vlaams-Brabant;;
1850;Grimbergen;Vlaams-Brabant;;
1851;Humbeek;Vlaams-Brabant;;
1852;Beigem;Vlaams-Brabant;;
1853;Strombeek-Bever;Vlaams-Brabant;;
1860;Meise;Vlaams-Brabant;;
1861;Wolvertem;Vlaams-Brabant;;
1880;Kapelle-Op-Den-Bos;Vlaams-Brabant;;
1880;Nieuwenrode;Vlaams-Brabant;;
1880;Ramsdonk;Vlaams-Brabant;;
1910;Berg;Vlaams-Brabant;;
1910;Buken;Vlaams-Brabant;;
1910;Kampenhout;Vlaams-Brabant;;
1910;Nederokkerzeel;Vlaams-Brabant;;
1930;Nossegem;Vlaams-Brabant;;
1930;Zaventem;Vlaams-Brabant;;
1932;Sint-Stevens-Woluwe;Vlaams-Brabant;;
1933;Sterrebeek;Vlaams-Brabant;;
1950;Kraainem;Vlaams-Brabant;;
1970;Wezembeek-Oppem;Vlaams-Brabant;;
1980;Eppegem;Vlaams-Brabant;;
1980;Zemst;Vlaams-Brabant;;
1981;Hofstade;Vlaams-Brabant;;
1982;Elewijt;Vlaams-Brabant;;
1982;Weerde;Vlaams-Brabant;;
2000;Antwerpen;Antwerpen;;
2018;Antwerpen;Antwerpen;;
2020;Antwerpen;Antwerpen;;
